Date,count,Timestamp
2016-09-1,33,"Thursday, September 16"
2016-09-2,25,"Friday, September 16"
2016-09-3,6,"Saturday, September 16"
2016-09-5,5,"Monday, September 16"
2016-09-6,36,"Tuesday, September 16"
2016-09-7,19,"Wednesday, September 16"
2016-09-8,15,"Thursday, September 16"
2016-09-9,45,"Friday, September 16"
2016-09-10,12,"Saturday, September 16"
2016-09-11,14,"Sunday, September 16"
2016-09-12,21,"Monday, September 16"
2016-09-13,37,"Tuesday, September 16"
2016-09-14,21,"Wednesday, September 16"
2016-09-15,36,"Thursday, September 16"
2016-09-16,17,"Friday, September 16"
2016-09-17,13,"Saturday, September 16"
2016-09-18,15,"Sunday, September 16"
2016-09-19,30,"Monday, September 16"
2016-09-20,38,"Tuesday, September 16"
2016-09-21,17,"Wednesday, September 16"
2016-09-22,32,"Thursday, September 16"
2016-09-23,23,"Friday, September 16"
2016-09-24,5,"Saturday, September 16"
2016-09-25,19,"Sunday, September 16"
2016-09-26,28,"Monday, September 16"
2016-09-27,36,"Tuesday, September 16"
2016-09-28,51,"Wednesday, September 16"
2016-09-29,60,"Thursday, September 16"
2016-09-30,61,"Friday, September 16"
2016-10-1,10,"Saturday, October 16"
2016-10-2,10,"Sunday, October 16"
2016-10-3,42,"Monday, October 16"
2016-10-4,27,"Tuesday, October 16"
2016-10-5,38,"Wednesday, October 16"
2016-10-6,48,"Thursday, October 16"
2016-10-7,47,"Friday, October 16"
2016-10-8,5,"Saturday, October 16"
2016-10-9,16,"Sunday, October 16"
2016-10-10,56,"Monday, October 16"
2016-10-11,44,"Tuesday, October 16"
2016-10-12,36,"Wednesday, October 16"
2016-10-13,62,"Thursday, October 16"
2016-10-14,39,"Friday, October 16"
2016-10-15,5,"Saturday, October 16"
2016-10-16,5,"Sunday, October 16"
2016-10-17,35,"Monday, October 16"
2016-10-18,20,"Tuesday, October 16"
2016-10-19,42,"Wednesday, October 16"
2016-10-20,40,"Thursday, October 16"
2016-10-21,69,"Friday, October 16"
2016-10-22,7,"Saturday, October 16"
2016-10-23,5,"Sunday, October 16"
2016-10-24,49,"Monday, October 16"
2016-10-25,35,"Tuesday, October 16"
2016-10-26,26,"Wednesday, October 16"
